,day,depot,list_plants,list_pickups,list_dropoffs,total_jobs,total_distance,routing_sequence,worst_edge_pickup,worst_edge_distance,worst_edge_dropoff,edges,distance_uptodate
86,16726,Neuherberg,['Neuherberg'],"['10831_9000167958', '19304_9000162414']","['11363_9000175807', '11430_9000174881', '20492_9000175677']",0,0,[],,,0,0,True
87,16727,Neuherberg,['Neuherberg'],"['10349_9000171436', '10844_9000166948', '10892_9000166212', '11055_9000165477', '11121_9000172504', '11420_9000167551', '19136_9000168313']","['10649_9000176441', '10743_9000175065', '10796_9000176187', '11227_9000175526', '11557_9000175933', '19185_9000172895', '19195_9000174949', '19232_9000174170', '19318_9000176283', '20563_9000175722', '50010_9000174966', '50019_9000175994', '50116_9000176979', '10001_9000175477', '19315_9000175676']",0,0,[],,,0,0,True
88,16728,Neuherberg,['Neuherberg'],"['10660_9000168664', '11214_9000168059', '11408_9000165786', '19059_9000169670', '19123_9000172162']","['9053_9000163233', '9071_9000176247', '10134_9000176965', '10934_9000176026', '10995_9000177002', '11263_9000176788', '11367_9000174982', '11400_9000174044', '11434_9000176587', '11436_9000177603', '11523_9000176874', '19196_9000171845', '20036_9000175009', '20054_9000176327', '20302_9000176617', '20493_9000174991', '20558_9000176092', '50032_9000177295', '50067_9000177414', '73113_9000176308', '10451_9000176839', '20421_9000175642']",0,0,[],,,0,0,True
89,16729,Neuherberg,['Neuherberg'],"['9019_9000165659', '10137_9000170113', '10193_9000164735', '10740_9000173137', '11054_9000166731', '11273_9000167689', '11457_9000162114', '20183_9000169555', '20593_9000162038']","['10514_9000177906', '10515_9000178084', '11225_9000176973', '11423_9000177767', '19066_9000178104', '19136_9000177734', '19231_9000177739', '20176_9000178316', '20184_9000177691', '20270_9000176931', '20280_9000176500', '20594_9000177971', '50129_9000177073', '20032_9000179127', '73044_9000176952']",0,0,[],,,0,0,True
90,16730,Neuherberg,['Neuherberg'],"['10382_9000168270', '10970_9000173164', '11215_9000167325', '11521_9000172630', '20264_9000167006', '50010_9000174966', '50088_9000170408']","['9009_9000179299', '10338_9000179881', '10482_9000177664', '10654_9000177876', '10660_9000178845', '11369_9000178601', '19159_9000178842', '19192_9000179947', '20018_9000180073', '20337_9000178664', '20467_9000177897', '29130_9000179819', '50058_9000179393']",0,0,[],,,0,0,True
91,16731,Neuherberg,['Neuherberg'],"['11039_9000165144', '19285_9000173825', '50105_9000166573', '10915_9000171818']","['10112_9000180320', '10305_9000179991', '10761_9000177901', '10823_9000179854', '11054_9000179166', '11135_9000181121', '11232_9000177563', '11475_9000179826', '11516_9000179858', '11542_9000178770', '19139_9000179523', '19151_9000178786', '19189_9000179473', '19207_9000178752', '19317_9000178836', '20206_9000180108', '20387_9000179538', '29005_9000179578', '50101_9000179216', '73945_9000176941']",0,0,[],,,0,0,True
92,16732,Neuherberg,['Neuherberg'],"['10217_9000171117', '10237_9000175036', '10635_9000170482', '10658_9000170269', '11185_9000171035', '11274_9000163285', '19177_9000172164', '19301_9000161126', '20536_9000164774', '50032_9000177295']","['9330_9000180447', '10137_9000179286', '10167_9000180200', '10186_9000180161', '10193_9000179250', '10259_9000181127', '10526_9000180221', '10915_9000180091', '11055_9000180405', '11457_9000181092', '11540_9000179512', '19002_9000180309', '19135_9000179260', '19197_9000180247', '19224_9000178614', '19241_9000180870', '20321_9000181023', '20592_9000179663', '29272_9000179795', '50037_9000180629', '50074_9000179503', '50113_9000179443', '73056_9000178973', '20076_9000170013', '20132_9000179955', '50138_9000179432']",0,0,[],,,0,0,True
93,16733,Neuherberg,['Neuherberg'],"['11328_9000171605', '11409_9000167033', '19932_9000172046', '20067_9000167795', '20302_9000176617', '20157_9000022419']","['9019_9000182142', '9132_9000181500', '10054_9000182141', '10157_9000181188', '10210_9000181266', '11039_9000181165', '11080_9000182225', '11185_9000181692', '11186_9000181132', '11342_9000181042', '11549_9000181259', '19325_9000179144', '20264_9000182366', '29001_9000181306', '50018_9000181024']",0,0,[],,,0,0,True
94,16734,Neuherberg,['Neuherberg'],"['10293_9000166565', '10654_9000177876', '10934_9000176026', '11542_9000178770', '19267_9000172416', '19318_9000176283', '20492_9000175677']","['10037_9000182474', '10329_9000182952', '10821_9000181053', '11361_9000181882', '11409_9000183606', '11443_9000182528', '11444_9000181988', '19133_9000182818', '19238_9000182306', '19244_9000180922', '20127_9000182368', '20446_9000183376', '20611_9000182678', '29140_9000182402', '20392_9000180668', '29084_9000180343']",0,0,[],,,0,0,True
95,16735,Neuherberg,['Neuherberg'],"['10207_9000167898', '10650_9000165006', '10913_9000168079', '10915_9000180091', '11194_9000168557', '11323_9000172611', '11435_9000168940', '11447_9000163690', '11557_9000175933', '19185_9000172895', '20253_9000163275', '20339_9000171221', '20538_9000163598', '29043_9000169610', '73042_9000153350']","['10086_9000186358', '10102_9000184602', '10159_9000183956', '10237_9000184609', '10635_9000182672', '11195_9000183353', '11353_9000182823', '11375_9000184505', '11385_9000184192', '11451_9000179952', '19034_9000183738', '19242_9000184048', '19293_9000183075', '20593_9000184203', '29076_9000184283', '29127_9000184888', '50115_9000183148', '19301_9000182057']",0,0,[],,,0,0,True
